Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
,,,,,,,,,,,,Predation by free-ranging birds on partial coral snake mimics: The importance of ring width and color,"Hinman, KE; Throop, HL; Adams, KL; Dake, AJ; McLauchlan, KK; McKone, MJ",,,,EVOLUTION,Jun-97,1997,51,3,,,,1011,1014,,10.2307/2411177,,,23,1.1
,Not about mimicry,,,,,,,,,,,The significance of wing pattern diversity in the Lycaenidae: mate discrimination by two recently diverged species,"Fordyce, JA; Nice, CC; Forister, ML; Shapiro, AM",,,,JOURNAL OF EVOLUTIONARY BIOLOGY,Sep-02,2002,15,5,,,,871,879,,10.1046/j.1420-9101.2002.00432.x,,,80,5
,,,,,,,,,,,,INTRAPLANT VERSUS INTERPLANT BATESIAN MIMICRY - A MODEL ON CYANOGENESIS AND HERBIVORY IN CLONAL PLANTS,"TILLBOTTRAUD, I; GOUYON, PH",,,,AMERICAN NATURALIST,Mar-92,1992,139,3,,,,509,520,,10.1086/285341,,,17,0.65
,,,,Snake,,,Snake,,,,Predator,Mimicry on the edge: why do mimics vary in resemblance to their model in different parts of their geographical range?,"Harper, George R., Jr.; Pfennig, David W.",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,AUG 22 2007,2007,274,1621,,,,1955,1961,,10.1098/rspb.2007.0558,,,45,4.09
,Not about mimicry,,,,,,,,,,,The molecular basis of melanism and mimicry in a swallowtail butterfly,"Koch, PB; Behnecke, B; ffrench-Constant, RH",,,,CURRENT BIOLOGY,MAY 18 2000,2000,10,10,,,,591,594,,10.1016/S0960-9822(00)00494-2,,,51,2.83
,,,,,,,,,,,,Pollinator Deception in the Orchid Mantis,"O''Hanlon, James C.; Holwell, Gregory I.; Herberstein, Marie E.",,,,AMERICAN NATURALIST,JAN 1 2014,2014,183,1,,,,126,132,,10.1086/673858,,,21,5.25
,Not about mimicry,,,,,,,,,,,DIFFERENCES BETWEEN THE 7-SPOT AND 2-SPOT LADYBIRD BEETLES (COCCINELLIDAE) IN THEIR TOXIC EFFECTS ON A BIRD PREDATOR,"MARPLES, NM; BRAKEFIELD, PM; COWIE, RJ",,,,ECOLOGICAL ENTOMOLOGY,Feb-89,1989,14,1,,,,79,84,,10.1111/j.1365-2311.1989.tb00756.x,,,41,1.41
,,,,,,,,,,,,"New species of Moenkhausia Eigenmann (Characiformes: Characidae) from Rio Xingu and Rio Tapajos basins, Brazil, with comments on a putative case of polymorphic Batesian mimicry","Zanata, A. M.; Birindelli, J. L. O.; Moreira, C. R.",,,,JOURNAL OF FISH BIOLOGY,Dec-09,2009,75,10,,,,2615,2628,,10.1111/j.1095-8649.2009.02455.x,,,9,1
,,,,,,,,,,,,Both Palatable and Unpalatable Butterflies Use Bright Colors to Signal Difficulty of Capture to Predators,"Pinheiro, C. E. G.; Freitas, A. V. L.; Campos, V. C.; DeVries, P. J.; Penz, C. M.",,,,NEOTROPICAL ENTOMOLOGY,Apr-16,2016,45,2,,,,107,113,,10.1007/s13744-015-0359-5,,,0,0
,,,,,,,,,,,,"Advertencies dels animals: cripsi, aposematisme i mimetismes. ANIMALS WARNINGS: CRYPSIS, APOSEMATISM AND MIMICRIES.","Maso, Albert; Pijoan, Manuel",,,,L'Atzavara,2012,2012,21,,,,,5,18,,,,,0,0
,,,,,,,,,,,,Model toxin level does not directly influence the evolution of mimicry in the salamander Plethodon cinereus,"Kraemer, Andrew C.; Serb, Jeanne M.; Adams, Dean C.",,,,EVOLUTIONARY ECOLOGY,Jul-15,2015,29,4,,,,511,523,,10.1007/s10682-015-9765-8,,,2,0.67
,,,,,,,,,,,,A phylogenetic framework for wing pattern evolution in the mimetic Mocker Swallowtail Papilio dardanus,"Clark, Rebecca; Vogler, Alfried P.",,,,MOLECULAR ECOLOGY,Sep-09,2009,18,18,,,,3872,3884,,10.1111/j.1365-294X.2009.04259.x,,,7,0.78
,,,,,,,,,,,,"BE CAUTIOUS, BATES - WHAT DID THE VICEROY LOOK LIKE BEFORE IT BEGAN TO IMITATE THE MONARCH","SAIFF, EI; MACBETH, N",,,,RIVISTA DI BIOLOGIA-BIOLOGY FORUM,1989,1989,82,2,,,,247,252,,,,,0,0
,Mullerian,,,"Butterfly, bee",,,"Butterfly, bee",,,,Predator,Causes and consequences of a lack of coevolution in mullerian mimicry,"Mallet, J",,,,EVOLUTIONARY ECOLOGY,1999,1999,13,07-Aug,,,,777,806,,10.1023/A:1011060330515,,,81,4.26
,,,,Marine invertebrate,,,Marine invertebrate,,,,Predator/fish,Chemical defense of early life stages of benthic marine invertebrates,"Lindquist, N",,,,JOURNAL OF CHEMICAL ECOLOGY,Oct-02,2002,28,10,,,,1987,2000,,10.1023/A:1020745810968,,,44,2.75
,,,,,,,,,,,,Systematics of the checkered beetle subfamily Platynopterinae SPINOLA (Coleoptera: Cleridae),"Opitz, Weston",,,,Linzer Biologische Beitraege,DEC 30 2015,2015,47,2,,,,1513,1572,,,,,0,0
,,,,,,,,,,,,SATYRIC MIMICRY - THE EVOLUTION OF APPARENT IMPERFECTION,"HOWSE, PE; ALLEN, JA",,,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,AUG 22 1994,1994,257,1349,,,,111,114,,10.1098/rspb.1994.0102,,,20,0.83
,,,,,,,,,,,,An empirical test of signal detection theory as it applies to Batesian mimicry,"McGuire, Liam; Van Gossum, Hans; Beirinckx, Kirsten; Sherratt, Thomas N.",,,,BEHAVIOURAL PROCESSES,NOV 1 2006,2006,73,3,,,,299,307,,10.1016/j.beproc.2006.07.004,,,9,0.75
,,,,,,,,,,,,A test of fundamental questions in mimicry theory using long-term datasets,"Long, Elizabeth C.; Edwards, Kyle F.; Shapiro, Arthur M.",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Nov-15,2015,116,3,,,,487,494,,10.1111/bij.12608,,,0,0
,,,,,,,,,,,,The application of temporal difference learning in optimal diet models,"Teichmann, Jan; Broom, Mark; Alonso, Eduardo",,,,JOURNAL OF THEORETICAL BIOLOGY,JAN 7 2014,2014,340,,,,,11,16,,10.1016/j.jtbi.2013.08.036,,,1,0.25
,,,,,,,,,,,,"Honeybees choose incorrect"" colors that are similar to target flowers in preference to novel colors""","Dyer, Adrian G.; Murphy, Anna H.",,,,ISRAEL JOURNAL OF PLANT SCIENCES,2009,2009,57,3,,,,203,210,,10.1560/IJPS.57.3.203,,,11,1.22
,,,,,,,,,,,,Evidences of Batesian Mimicry and Parabiosis in Ants of the Brazilian Savanna,"Gallego-Ropero, M. C.; Feitosa, R. M.",,,,SOCIOBIOLOGY,Sep-14,2014,61,3,,,,281,285,,,,,4,1
,,,,,,,,,,,,Functional analysis of genes involved in color pattern formation in Lepidoptera,"Fujiwara, Haruhiko; Nishikawa, Hideki",,,,CURRENT OPINION IN INSECT SCIENCE,Oct-16,2016,17,,,,,16,23,,10.1016/j.cois.2016.05.015,,,0,0
,,,,,,,,,,,,The role of ultraviolet colour in the assessment of mimetic accuracy between Batesian mimics and their models: a case study using ant-mimicking spiders.,"Corcobado, Guadalupe; Herberstein, Marie E; Pekar, Stano",,,,Die Naturwissenschaften,2016-Dec,2016,103,11-Dec,,,,90,,,,,,0,0
,,,,,,,,,,,,The evolutionary genetics of highly divergent alleles of the mimicry locus in Papilio dardanus,"Thompson, Martin J.; Timmermans, Martijn J. T. N.; Jiggins, Chris D.; Vogler, Alfrie. P.",,,,BMC EVOLUTIONARY BIOLOGY,AUG 31 2014,2014,14,,,,,,,140,10.1186/1471-2148-14-140,,,2,0.5
,,,,,,,,,,,,Batesian mimicry in Anarta myrtilli (L.) (Lep.: Noctuidae)?,"Weir, J. C.",,,,Entomologist's Record and Journal of Variation,MAY-JUN 2015,2015,127,Part 3,,,,135,136,,,,,0,0
,,,,,,,,,,,,"THE COMPARATIVE-STUDY OF THE PREDATORY BEHAVIOR OF MYRMARACHNE, ANT-LIKE JUMPING SPIDERS (ARANEAE, SALTICIDAE)","JACKSON, RR; WILLEY, MB",,,,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Jan-94,1994,110,1,,,,77,102,,,,,23,0.96
,,,,Flower,,,Flower,,,,Pollinator/Diptera,Exploitation of a specialized mutualism by a deceptive orchid,"Anderson, B; Johnson, SD; Carbutt, C",,,,AMERICAN JOURNAL OF BOTANY,Aug-05,2005,92,8,,,,1342,1349,,10.3732/ajb.92.8.1342,,,43,3.31
,,,,,,,,,,,,DOES WARNING COLORATION OCCUR IN NUDIBRANCHS,"EDMUNDS, M",,,,MALACOLOGIA,1991,1991,32,2,,,,241,255,,,,,17,0.63
,,,,,,,,,,,,Pod and seed defensive coloration (camouflage and mimicry) in the genus Pisum,"Aviezer, Iris; Lev-Yadun, Simcha",,,,ISRAEL JOURNAL OF PLANT SCIENCES,APR 3 2015,2015,62,01-Feb,,,SI,39,51,,10.1080/07929978.2014.958392,,,5,1.67
,,,,,,,,,,,,LIZARD MIMICS MILLIPEDE,"VITT, LJ",,,,RESEARCH & EXPLORATION,WIN 1992,1992,8,1,,,,76,95,,,,,16,0.62
,,,,,,,,,,,,Fidelity of vocal mimicry: identification and accuracy of mimicry of heterospecific alarm calls by the brown thornbill,"Igic, Branislav; Magrath, Robert D.",,,,ANIMAL BEHAVIOUR,Mar-13,2013,85,3,,,,593,603,,10.1016/j.anbehav.2012.12.022,,,9,1.8
,,,,,,,,,,,,Do crab spiders perceive Batesian mimicry in hoverflies?,"Morris, Rohanna L.; Reader, Tom",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2016,2016,27,3,,,,920,931,,10.1093/beheco/arv233,,,0,0
,,,,,,,,,,,,"Trixoscelis puncticornis (Becker, 1907) (Trixoscelididae) and Pherbellia cinerella (Fallen, 1820) (Sciomyzidae): An example of Batesian Mimicry? (Diptera: Acalyptrata)","Munari, Lorenzo",,,,Bollettino del Museo Civico di Storia Naturale di Venezia,1995 (1996),1995,46,0,,,,147,151,,,,,0,0
,,,,,,,,,,,,"Teletusa limpida (Signoret): A Neotropical proconiine leafhopper that mimics megachilid bees (Hymenoptera: Apoidea), with notes on Batesian mimicry in the subfamily Cicadellinae (Hemiptera: Cicadellidae).","Mejdalani, G.; Takiya, D. M.; Felix, M.; Ceotto, P.; Yanega, D.",,,,Denisia,"21 Maerz, 2002",2002,,4,,,,215,224,,,,,0,0
,,,,,,,,,,,,Mimikry zwischen Wusteneidechsen und Wustenlaufkafern - eine Uberlebensstrategie in extremer Umwelt.. [Mimicry between desert lizards and desert carabids - a survival strategy in an extreme environment.],"Schmidt, Almuth; Gruschwitz, Michael",,,,Reptilia (D),Aug-97,1997,2,4,,Nr 6,,22,24,,,,,0,0
,,,,Snake,,,Snake,,,,Predator,THE COLORATION OF THE VENOMOUS CORAL SNAKES (FAMILY ELAPIDAE) AND THEIR MIMICS (FAMILIES ANILIIDAE AND COLUBRIDAE),"SAVAGE, JM; SLOWINSKI, JB",,,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Mar-92,1992,45,3,,,,235,254,,10.1111/j.1095-8312.1992.tb00642.x,,,51,1.96
,,,,,,,,,,,,A Stochastic optimal control problem for predation of models and mimics,"Tsoularis, A.",,,"Pham, TD; Zhou, X",COMPUTATIONAL MODELS FOR LIFE SCIENCES (CMLS 07),2007,2007,952,,,,,297,302,,,International Symposium on Computational Models for Life Science,"DEC 17-19, 2007",0,0
,,,,,,,,,,,,"Hispaniolan Hemilophini (Coleoptera, Cerambycidae, Lamiinae)","Lingafelter, Steven W.",,,,ZOOKEYS,2013,2013,,258,,,,53,83,,10.3897/zookeys.258.4391,,,1,0.2
,,,,,,,,,,,,Deceptive Behavior in Plants. II. Food Deception by Plants: From Generalized Systems to Specialized Floral Mimicry,"Jersakova, Jana; Johnson, Steven D.; Juergens, Andreas",,,"Baluska, F",PLANT-ENVIRONMENT INTERACTIONS: FROM SENSORY PLANT BIOLOGY TO ACTIVE PLANT BEHAVIOR,2009,2009,,,,,,223,246,,10.1007/978-3-540-89230-4_12,,,22,2.44
,,,,,,,,,,,,"Effectiveness of tiger moth (Lepidoptera, Arctiidae) chemical defenses against an insectivorous bat (Eptesicus fuscus)","Hristov, Nickolay I.; Conner, William E.",,,,Bat Research News,WIN    04,2004,45,4,,,,228,229,,,34th Annual North American Symposium on Bat Research,"October 27 -30, 2004",0,0
,,,,,,,,,,,,Female-limited Batesian mimicry in butterflies.,"Oosaki, Naota",,,,Biological Sciences (Tokyo),Jul-97,1997,49,1,,,,3,9,,,,,0,0
,,,,,,,,,,,,Out of the frying pan and into the fire: A novel trade-off for batesian mimics,"Nelson, XJ; Li, DQ; Jackson, RR",,,,ETHOLOGY,Mar-06,2006,112,3,,,,270,277,,10.1111/j.1439-0310.2006.01155.x,,,11,0.92
,,,,,,,,,,,,Imperfect Batesian Mimicry and the Conspicuousness Costs of Mimetic Resemblance,"Speed, Michael P.; Ruxton, Graeme D.",,,,AMERICAN NATURALIST,Jul-10,2010,176,1,,,,E1,E14,,10.1086/652990,,,12,1.5
,,,,,,,,,,,,Sequence variation in the Mc1r gene for a group of polymorphic snakes,"Cox, Christian L.; Rabosky, Alison R. Davis; Chippindale, Paul T.",,,,GENE,JAN 25 2013,2013,513,2,,,,282,286,,10.1016/j.gene.2012.10.065,,,7,1.4
,,,,,,,,,,,,Coral snakes predict the evolution of mimicry across New World snakes,"Rabosky, Alison R. Davis; Cox, Christian L.; Rabosky, Daniel L.; Title, Pascal O.; Holmes, Iris A.; Feldman, Anat; McGuire, Jimmy A.",,,,NATURE COMMUNICATIONS,May-16,2016,7,,,,,,,11484,10.1038/ncomms11484,,,2,1
,,,,,,,,,,,,Of what use are the bright colours of hoverflies?,"Heal, Jon",,,,Dipterists Digest Second Series,1995,1995,2,1,,,,1,4,,,,,2,0.09
,,,,,,,,,,,,Butterfly effects in mimicry? Combining signal and taste can twist the relationship of Mullerian co-mimics,"Ihalainen, Eira; Lindstrom, Leena; Mappes, Johanna; Puolakkainen, Sari",,,,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Apr-08,2008,62,8,,,,1267,1276,,10.1007/s00265-008-0555-y,,,9,0.9
